Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0099575,0.010629,0.10027,0,0,0,25.085,0.33605,0.00027783,-0.014324,0.33488,-0.0032301,0.50135,0,0,0,0,0,0,package://final_arm_material/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://final_arm_material/meshes/base_link.STL,,base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,1.3073E-08,-0.54539,-0.039291,0,0,0,8.6101,0.17081,-2.9301E-09,9.5086E-09,0.01051,-4.9643E-08,0.1699,0,0,0,0,0,0,package://final_arm_material/meshes/link1.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://final_arm_material/meshes/link1.STL,,one_link-1/generic-link-1;one_link-1/joining-part-1;one_link-1/motor_link-1,Origin_joint1,Axis1,joint1,revolute,0.00099395,0.0086075,0.20448,-1.6182,-0.074077,0.7922,base_link,0,1,0,100,40,-3.14,3.14,,,,,,,,
link2,-0.10297,-0.0089445,-0.49311,0,0,0,8.6101,0.1699,8.6068E-09,-4.9807E-08,0.17075,-0.0029067,0.010563,0,0,0,0,0,0,package://final_arm_material/meshes/link2.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://final_arm_material/meshes/link2.STL,,one_link-2/generic-link-1;one_link-2/motor_link-1;one_link-2/joining-part-1,Origin_joint2_real,Axis2,joint2,revolute,0,-0.67886,0,3.1416,1.5708,0,link1,-1,0,0,100,40,-3.14,3.14,,,,,,,,
link3,0.31333,2.8823E-07,-3.0691E-08,0,0,0,3.6676,0.0033793,4.9643E-08,-2.9301E-09,0.16377,-9.5086E-09,0.16368,0,0,0,0,0,0,package://final_arm_material/meshes/link3.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://final_arm_material/meshes/link3.STL,,one_link-3/generic-link-1,Origin_joint3_real,Axis3,joint3,revolute,0,-0.011365,-0.62656,3.1416,1.4185,-1.5708,link2,0,-1,0,400,40,-3.14,3.14,,,,,,,,
