Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.296485796835353,-0.611898974441144,0.318944214640172,0,0,0,181.521223524418,5.51881445393319,5.68950562251315E-32,-1.30000271246138E-31,5.51881445393319,4.25911933290988E-16,9.88972581951903,0,0,0,0,0,0,package://Assem1_universal/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Assem1_universal/meshes/base_link.STL,,base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.0507206032685569,0.188259194798284,0.00110984147920914,0,0,0,58.929995324725,1.30216781385276,-0.481625078609562,-0.0043790215764947,2.05240641336218,-0.00797418189249532,2.36610889031325,0,0,0,0,0,0,package://Assem1_universal/meshes/link1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Assem1_universal/meshes/link1.STL,,SHOULDER JOINT - Copy-1,Origin_joint 02,Axis_joint 02,joint 0,revolute,0.29649,-0.6119,0.42817,1.5708,0,-1.2631,base_link,0,1,0,0,0,-3.14,3.14,,,,,,,,
link2,-0.592184811265197,-0.0908315253787347,-7.30949339944331E-09,0,0,0,14.6892193907076,0.058482861182971,4.25759570134299E-09,-2.73676821569563E-08,0.430930332041447,3.77585007010905E-09,0.396763126204725,0,0,0,0,0,0,package://Assem1_universal/meshes/link2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Assem1_universal/meshes/link2.STL,,shoulderlink - Copy-1,Origin_joint 12,Axis_joint 12,joint 1,revolute,0.26922,0.38863,0,-1.5708,0,-2.1112,link1,0,1,0,0,0,-3.14,3.14,,,,,,,,
link 3,0.589010391335981,0.0201110258263087,-0.000885747449043572,0,0,0,23.5729079118835,0.11704748465171,-0.0290376210439535,-0.00344333529009955,1.59119945867572,0.000125109454823913,1.55992616436486,0,0,0,0,0,0,package://Assem1_universal/meshes/link 3.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Assem1_universal/meshes/link 3.STL,,elbow link - Copy-1,Origin_joint 22,Axis_joint 22,joint 2,revolute,-1.1822,0,0,3.1416,-0.19008,-3.1416,link2,0,1,0,0,0,-3.14,3.14,,,,,,,,
link 4,-0.00350901194985509,0.444290690237279,-0.0699239602138977,0,0,0,4.7422733749791,0.0668146172266336,6.6343183442658E-05,0.000309777723202941,0.0189783890803951,0.00078173736771283,0.0749808653607735,0,0,0,0,0,0,package://Assem1_universal/meshes/link 4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem1_universal/meshes/link 4.STL,,wrist with universal-2,Origin_joint 32,Axis_joint 32,joint 3,revolute,1.2508,0.056145,0,-1.5304,0.68813,-3.0781,link 3,0.049037,0,0.9988,0,0,-3.14,3.14,,,,,,,,
link 5,-1.15186862714722E-07,-0.00290333942894883,-0.00103896172427165,0,0,0,0.761354400003499,0.00112625497805474,-2.41542571835225E-09,9.63054909442008E-10,0.00124823563907516,1.65024365820752E-07,0.00106990091896965,0,0,0,0,0,0,package://Assem1_universal/meshes/link 5.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Assem1_universal/meshes/link 5.STL,,universal mid-2,Origin_joint 42,Axis_joint 42,joint 4,revolute,0,1.0454,-0.070575,1.5708,-0.4488,1.5708,link 4,0,0,1,0,0,-3.14,3.14,,,,,,,,
link6,0,0.0220625297833468,1.50990331349021E-14,0,0,0,0.2351717720661,0.00010836728862395,9.90181515340277E-19,3.3881317890172E-21,0.000206387616600977,4.02340649945793E-19,0.00010836728862395,0,0,0,0,0,0,package://Assem1_universal/meshes/link6.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Assem1_universal/meshes/link6.STL,,universal top-2,Origin_joint 52,Axis_joint 52,joint 5,revolute,0,0.021359,-0.00096493,0,0.75918,0,link 5,0,1,0,0,0,-3.14,3.14,,,,,,,,
