Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-4.38459742593246E-34,0.0907710280373832,-7.13881493679544E-18,0,0,0,181.521223524418,5.51881445393319,-1.01727216834597E-32,-1.3215053740922E-32,9.88972581951903,-1.58279641776445E-16,5.51881445393319,0,0,0,0,0,0,package://arm/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://arm/meshes/base_link.STL,,base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link0,0.0355178825409352,0.157139825491904,0.00122134175850219,0,0,0,98.5041258407804,1.99130888165785,-0.692627270004379,-0.0182044039035337,2.90246458508412,-0.0227189590908132,3.21938431125826,0,0,0,0,0,0,package://arm/meshes/link0.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://arm/meshes/link0.STL,,SHOULDER JOINT-1,Origin_joint0,Axis_joint0,joint0,revolute,0,0,0.2,1.5708,0,0.088859,base_link,0,1,0,4000,100,-3.14,3.14,,,,,,,,
link1,-0.592743363740107,-0.165330595476482,-3.44125008489016E-08,0,0,0,18.3302519824984,0.065082435298862,-4.7643403809812E-09,4.56697653371078E-09,0.743747857307063,-2.89186242313777E-09,0.709580452382803,0,0,0,0,0,0,package://arm/meshes/link1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://arm/meshes/link1.STL,,shoulderlink-1,Origin_joint1,Axis_joint1,joint1,revolute,0.26922,0.38863,-0.074306,-1.5708,0,-0.5805,link0,0,1,0,4000,100,-3.14,3.14,,,,,,,,
link2,0.348115245864249,-0.0554460897758381,2.5435060724277E-09,0,0,0,36.7453380037323,0.156515311562198,-0.0453080221161837,-3.18041086986263E-08,1.01506980787168,-1.97021185477375E-09,0.993170086635875,0,0,0,0,0,0,package://arm/meshes/link2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://arm/meshes/link2.STL,,elbow link-1,Origin_joint2,Axis_joint2,joint2,revolute,-1.1822,0,0,0,-1.5126,0,link1,0,1,0,4000,100,-3.14,3.14,,,,,,,,
link3,-0.22148303895918,-0.0518331271734836,-9.68683069313414E-08,0,0,0,10.7350348605419,0.0375046607178083,-0.00213694800757628,8.63495212314499E-09,0.221795923361343,3.55082345137279E-08,0.204712127355728,0,0,0,0,0,0,package://arm/meshes/link3.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://arm/meshes/link3.STL,,wrist link-1,Origin_joint3,Axis_joint3,joint3,revolute,0.83199,0,0,0,-1.0411,3.1416,link2,0,1,0,4000,100,-3.14,3.14,,,,,,,,
link4,-1.77635683940025E-15,0.164110999813847,-1.40720768371239E-14,0,0,0,2.62527190097231,0.0283654696913977,1.49623287934789E-16,-2.16840434497101E-19,0.00529698439534631,-1.07336015076065E-17,0.0283654696913977,0,0,0,0,0,0,package://arm/meshes/link4.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://arm/meshes/link4.STL,,end link-1,Origin_joint4,Axis_joint4,joint4,revolute,-0.61765,-0.052499,0,0,1.4568,1.5708,link3,0,1,0,4000,100,-3.14,3.14,,,,,,,,
end_effector,-9.76996261670138E-15,0.0115364087271191,-2.88657986402541E-15,0,0,0,0.0458831332838273,0.000111089708199409,7.6232965252887E-20,-4.2351647362715E-19,0.000219133862355338,-5.49936141004854E-19,0.000111089708199409,0,0,0,0,0,0,package://arm/meshes/end_effector.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm/meshes/end_effector.STL,,end_effector-1,Origin_joint5,Axis_joint5,joint5,revolute,0,0.31123,0,3.1416,1.2438,3.1416,link4,0,1,0,4000,100,-3.14,3.14,,,,,,,,
